 n cos  sen
-- --- -----------------
 0 1.000000 0.000000
 1 0.999848 0.017452
 2 0.999391 0.034899
 3 0.998630 0.052336
 4 0.997564 0.069756
 5 0.996195 0.087156
 6 0.994522 0.104528
 7 0.992546 0.121869
 8 0.990268 0.139173
 9 0.987688 0.156434
10 0.984808 0.173648
11 0.981627 0.190809
12 0.978148 0.207912
13 0.974370 0.224951
14 0.970296 0.241922
15 0.965926 0.258819
16 0.961262 0.275637
17 0.956305 0.292372
18 0.951057 0.309017
19 0.945519 0.325568
20 0.939693 0.342020
21 0.933580 0.358368
22 0.927184 0.374607
23 0.920505 0.390731
24 0.913545 0.406737
25 0.906308 0.422618
26 0.898794 0.438371
27 0.891007 0.453991
28 0.882948 0.469472
29 0.874620 0.484810
30 0.866025 0.500000
31 0.857167 0.515038
32 0.848048 0.529919
33 0.838671 0.544639
34 0.829038 0.559193
35 0.819152 0.573576
36 0.809017 0.587785
37 0.798636 0.601815
38 0.788011 0.615661
39 0.777146 0.629320
40 0.766044 0.642788
41 0.754710 0.656059
42 0.743145 0.669131
43 0.731354 0.681998
44 0.719340 0.694658
45 0.707107 0.707107
46 0.694658 0.719340
47 0.681998 0.731354
48 0.669131 0.743145
49 0.656059 0.754710
50 0.642788 0.766044
51 0.629320 0.777146
52 0.615661 0.788011
53 0.601815 0.798636
54 0.587785 0.809017
55 0.573576 0.819152
56 0.559193 0.829038
57 0.544639 0.838671
58 0.529919 0.848048
59 0.515038 0.857167
60 0.500000 0.866025
61 0.484810 0.874620
62 0.469472 0.882948
63 0.453991 0.891007
64 0.438371 0.898794
65 0.422618 0.906308
66 0.406737 0.913545
67 0.390731 0.920505
68 0.374607 0.927184
69 0.358368 0.933580
70 0.342020 0.939693
71 0.325568 0.945519
72 0.309017 0.951057
73 0.292372 0.956305
74 0.275637 0.961262
75 0.258819 0.965926
76 0.241922 0.970296
77 0.224951 0.974370
78 0.207912 0.978148
79 0.190809 0.981627
80 0.173648 0.984808
81 0.156434 0.987688
82 0.139173 0.990268
83 0.121869 0.992546
84 0.104528 0.994522
85 0.087156 0.996195
86 0.069757 0.997564
87 0.052336 0.998630
88 0.034899 0.999391
89 0.017452 0.999848
90 -0.000000 1.000000
